part_number	name	priceOpt	warranty	instock
23726	Тестер волоконно-оптических сетей + крокодиллы	0	3	1
YT-SW-XIANGHUI-5KVA	Точечная сварка XIANGHUI, 220V, 5KVA	390	12	1
YT-AUXCCA(M)/(F)-3.0-B	Удлинитель Audio DC3.5 папа-мама 3.0м, GOLD Stereo Jack, (круглый) Black cable, Пакет Q300	0.6	2	1
HF-0.5	Удлинитель Merlion HDMI(папа)-HDMI(мама) VEGGIEG 0.5m, v2.0, OD-7.0mm, круглый, Black, коннектор Black, (Пакет) 	2	6	1
WLTB02252GR-UA	Удлинитель Panasonic X-tendia 2 гнезда, 5 м, с защитными шторками, серый	4.63	24	1
YT-AM/AF-1.5TBL	Удлинитель USB 2.0 AM/AF, 1.5m, 1 феррит, прозрачный синий Q250	0.9	2	1
OMY-LDT50W	Уличный LED-фонарь OMY-LDT, 50W,6500К, Black	21.5	12	1
BK1200	Ультразвуковая ванна BAKKU BK-1200 с функцией дегазации жидкости (1.6L, 60W, 40 kHz, подогрев до 80 гр. C, таймер до 99 мин.)	123.9	12	1
nn	Ультратонкая пластиковая накладка Carbon iPhone 6 Plus/ 6s Plus black	0.2	0	1
nn	Ультратонкая пластиковая накладка Carbon iPhone 6 Plus/ 6s Plus blue	0.2	0	1
nn	Ультратонкая пластиковая накладка Carbon iPhone 6 Plus/ 6s Plus red	0.2	0	1
nn	Ультратонкая пластиковая накладка Carbon iPhone 6 Plus/ 6s Plus white	0.2	0	1
LV-AC24MTK7628KN	Усилитель WiFi сигнала с 4-мя встроенными антеннами LV-AC24, питание 220V, 4X300Mbps, IEEE 802.11b/g/n/ac, 2.4-5GHz, MTK7628KN, BOX	27	6	1
GT-SLC-04	Утюг, беспроводной Quigg GT-SLC-04, 2400W	900	3	1
13579	Флэш-накопитель Microflash UA113, USB 2.0, 64GB, Metal Design, BOX	5.6	12	1
BK-227	Флюс BAKU BK-227	3.2	0	1
YT-HWS4-W	Хаб USB 2.0 4 порта, White, 480Mbts питание от USB, с выключателем, Blister Q100	3	6	1
17517	Чайная ложка из нержавеющей стали, 12 штук в упаковке, цена за упаковку	1.2	0	1
HF-4909	Шахматы HF-4909	180	0	1
Garden hose 17,5-52,5	Шланг Садовый 17,5-52,5м, Blue/Green, Box	9.6	0	1
Garden hose 20-60	Шланг Садовый 20-60м, Blue/Green, Box	10	0	1
DR1220	Шуруповерт Merlion DR1220 с двумя батареями по 12 V, емкость каждой батареи по 1,3Ah + зарядное устройство	20.6	12	1
XG-07	Электрический замок для ячеек камеры хранения 12V/1/8A, Black	0	6	1
3424CF/W	1200 TVL аналоговая камера 3424CF/W,  купольная внутренняя c объективом 3.6 мм 	7.4	6	1
RT-PIN-12/12EU	POE инжектор RITAR RT-PIN-12/12EU, 12V 1A (12Вт) с портами Ethernet 10/100/1000Мбит/с, EU PLUG	5.8	6	1
YD-T001	Power bank 5000 mAh Solar, (5V/200mA), 2xUSB, 5V/1A/1A, USB <-> microUSB, влаго/ударо защищеный прорезиненный корпус, карабин, Black/Yellow, Corton BO	9	6	1
PCE164P-N03/ VER 008S	Riser PCI-EX, x1=>x16, 4-pin/6-pin/Sata, USB 3.0 AM-AM 0,6 м (синий), конденсаторы 270, Пакет	9.5	3	1
S1215-S03C	SFP модуль MERCURY 1.25G 1550nm 3Km WDM SC поддержка DDM TX1550/RX1310	6.85	12	1
C651PC10	Автоматический  выключатель SHYY C65 1PC10	2.5	12	1
IFR14500-500mAhTT	Аккумулятор 14500 Lifepo4 Vipow IFR14500 TipTop, 500mAh, 3.2V, Blue Q50/500	1.1	6	1
PC/AAA1000-4BR	Аккумулятор PKCELL 1.2V  AAA 1000mAh NiMH Rechargeable Battery, 4 штуки в блистере цена за блистер, Q12	3.7	3	1
RT655	Аккумуляторная батарея AGM RITAR RT655, Gray Case, 6V 5.5Ah  ( 70х47х99 (105) ) Q20	5.5	24	1
R-LFP 12.8V 6Ah	Аккумуляторная батарея Ritar LiFePO4 12,8V 6Ah (76,8Wh)  ( 150 x 65 x  95 (100) Q10 	29.8	12	1
RB121550CS12V115Ah(B)	Аккумуляторная батарея Энергия DC 115-12  12V 115Ah   	140	12	1
YT-WE-AV2	Антивандальная кнопка выхода Варта Выход-2	212	6	1
BE-24	Балансир для аккумуляторных батарей 24V BE-24	25.6	12	1
MS/R03/2SE	Батарейка Super Heavy Duty MITSUBISHI 1.5V AAA/R03, 2S shrink pack,400pcs/ctn	0.48	3	1
PC/AG13-10B	Батарейка щелочная PKCELL 1.5V AG13, 10 штук в блистере цена за блистер, Q	0.59	3	1
CJ521148	БДСМ набор SM22 из 22 предметов, красный	26	0	1
MF-1K	Бесконтактная С НОМЕРОМ  проксимити карта стандарта MIFARE Classic 1K, толщина 0,8 мм. Рабочая частота  13,56 MHz	0.35	1	1
MotionProtect white	Беспроводной датчик движения Ajax MotionProtect white	32.27	12	1
CL-UW04	Беспроводной сетевой адаптер с антенной 2DBI Wi-Fi-USB Merlion CL-UW04, RT7601, 802.11bgn, 150MB, 2.4 GHz, WIN7/XP/Vista/2K/MAC/LINUX, Blister Q400	2.5	2	1
Gear s06	Беспроводные Bluetooth V5.0 наушники с зарядным кейсом Gear s06	29	3	1
23707	Бесщеточный интеллектуальный двухрежимный контроллер для электротранспорта 48V/60V, 35A, 800W	0	3	1
LLN65/20-4.0*1.7	Блок питания MERLION для ноутбукa LENOVO 20V 3.25A (65 Вт) штекер 4.0*1.7 мм, длина 0,9м + кабель питания    	6.5	12	1
LAC65/19-3.0*1.1	Блок питания MERLION для ноутбука ACER 19V 3.42A (65 Вт) штекер 3.0*1.1мм, длина 0,9м + кабель питания	6.5	12	1
BQDT1061-UA	Бокс Panasonic 6 модульный внутренний, без галогена	4.06	24	1
08543	Вентиль для бескамерной шины из алюминиевого сплава	0.85	1	1
SF-015	Вилка кабельная SF-015, 5 контактов, 3Р+N+E, 16А, 380V, IP44	2.4	6	1
WNTC00022DG-UA	Выключатель Panasonic Arkedia Slim одноклавишный с подсветкой, дымчатый	4.37	24	1
YT-En-1HW+W	Гибкий микро-эндоскоп F140,  мини камера 5.5 mm, Wi-Fi модуль, длина кабеля 1м	22	0	1
DT-2022/40MZ	Гирлянды 40LED (Звезда) Red/Green/Blue/Yellow, 1 режим, 5метров, прозрачная изоляция, Пакет	2.25	0	1
D16	Гофра D16 негорючая (100м) цвет черный	3.63	1	1
MC-52	Датчик магнитоконтактный с проводом 30 см MC-52, 35*14*8 мм, цинковый сплав, серый, под саморез, 10 штук в упаковке, цена за штуку	3.2	1	1
21293	Демонтаж КАМЕРЫ	4	0	1
17561	Детская машинка Q3 на радиоуправлении, silver	25	2	1
607006	Детская машинка-конструктор Sembo Block, yellow	7.2	2	1
C-1223	Детская развивающая игра Intelligence piramid	3.7	2	1
QZM-0935	Детская развивающая игрушка Digital pair alignment	8.8	2	1
17710	Детский конструктор из строительных блоков, 260 блоков в упаковке 	6.5	2	1
10265	Ежедневник ЮГТОРГ ФИРМЕННЫЙ 2021, green	4	0	1
RTP1000L	ИБП Ritar  RTP1000 (600W) Proxima-L, LED, AVR, 3st, 4xSCHUKO socket, 2x12V7Ah, plastik Case ( 460 x 225 x 245 ) 8,9 кг Q2	72.5	24	1
PSW-EPB1500TW24	ИБП с правильной синусоидой Europower PSW-EPB1500TW24 (1050 Вт) 10/20А, под внешнюю АКБ 24В, Q2	154	12	1
RT-2KS-LCD	ИБП с правильной синусоидой ONLINE Ritar RT-2KS-LCD, RACK 2000VA (1800Вт), 72 В, Встроенная батарея 12V 7,5 Ah х 6 шт  (482*600*87), Q1	346	12	1
0,14мм*17мм*25м	Изолента APRO 0,14мм*17мм*25м (черная), диапазон рабочих температур: от - 10°С до + 80°С, высокое качество!!! 10 шт. в упаковке, цена за упак.	7	1	1
LX-005003000	Импульсный адаптер питания 5В 3А (15Вт) Yoso штекер 5.5/2.5  длина 0,9м Q250	3	12	1
LX-005003000	Импульсный адаптер питания 5В 3А (15Вт) Yoso штекер Micro  длина 0,9м Q100	2.2	12	1
LX-005003000	Импульсный адаптер питания 5В 3А (15Вт) Yoso штекер Tipe C  длина 1,4м Q100	2.5	12	1
S-100-5	Импульсный блок питания 5В 20А (100Вт) перфорированный	8	12	1
RTPS 12-72	Импульсный блок питания Ritar RTPS12-72 12В 6А (72Вт) перфорированный  (150*65*45) 0,28кг (144*58*40)                                             	6.8	12	1
RTPS 24-150	Импульсный блок питания Ritar RTPS24-150 24В 6.25А (150Вт) перфорированный  (207*101*48) 0,5 (198*99*42)                                             	11.5	12	1
RTPS 5-40	Импульсный блок питания Ritar RTPS5-40 5В 8А (40Вт) перфорированный  (165*102*46)  0.32 кг (158*997*43)                                             	7.4	12	1
RTPSW 12-96	Импульсный блок питания герметичный Ritar RTPSW12-96 12В 8А (96Вт) IP67 (182*82*48) 0,74 кг (172*67*44)	16.5	12	1
PSU-5121	Импульсный источник бесперебойного питания PSU-5121 12V 5А, под АКБ 12V 7-9A или 18-20А, Metal Box	23	12	1
PSU-5140	Импульсный источник бесперебойного питания PSU-5140 12V 5А, под АКБ 12V 40A, Metal Box  	36	12	1
LW2R -100 / 2P	Интеллектуальный двойной переключатель питания LW2R -100 / 2P 	50	6	1
PSC6012	Источник бесперебойного питания 12V 5А, 60W	18	12	1
PSC120-24	Источник бесперебойного питания 24V 5А	26	12	1
PMC12V050W1AA	Источник бесперебойного питания с лед индикацией 12V 4,17А, 50W	25	12	1
YT-HDMI(M)/(M)HS-1.2m	Кабель Merlion HDMI-HDMI HIGH SPEED 1.2m, v1.4, OD-7.5mm, круглый Black, коннектор Black, (Пакет) Q250	0.55	2	1
YT-VGA(M)/(M)3+2-25m	Кабель Merlion VGA 25m, male to male (папа-папа), 2 феррита, черно-синий, кулёк	12	2	1
YT-VGA(M)/(M)3+6GR-1.5m	Кабель Merlion VGA 3+6 HIGH SPEED 1,5m, male to male (папа-папа), 1 феррит, серо-желтый, кулёк 1080P Q125	2.7	6	1
YT-HDMI(M)/(M)V1.4-5.0m	Кабель Ritar PL-HD94 HDMI-HDMI Ultra HD 1080P, 5.0m, v1,4, OD-7.3mm, с фильтром,  круглый Black, коннектор Gold, Пакет, Q70	2.5	6	1
YT-AM/BM90°-1.5B	Кабель USB 2.0 RITAR AM/BM, 1.5m, угловой 90°, черный	0.7	2	1
YT-VGA (M)-DVI (M)-3.0	Кабель VGA (папа)-DVI-I (папа)(24+5) 3метра 2 феррита оплетка круглый черный	2.5	2	1
89642201	Кабель волоконно-оптический Одескабель ОКАД-ММ(1,0)Пнг-HF-1Е7, с допустимым растягивающим усилием 1,0 кН	2.51	1	1
8741008	Кабель волоконно-оптический Одескабель ОКЛ-4-ДА(2,7)П-6*4E2D, с допустимым растягивающим усилием 2,7 кН	19.64	1	1
8744014	Кабель волоконно-оптический Одескабель ОКЛБг-4-ДА(2,7)П-4*4E2D, с допустимым растягивающим усилием 2,7 кН	23.23	1	1
33441324	Кабель волоконно-оптический Одескабель ОКТБг-М(1,5)П-2*12Е1-0,40Ф3,5/0,30Н19-24 бронированный с двумя проволоками	14.7	1	1
ОЦПс-2А1(1х2)-1,0 (ОМ=1,6	Кабель волоконно-оптический Южкабель ОЦПс-2А1(1х2)-1,0 (ОМ=1,6), диэлектрический самонесущий круглый, цена за метр	2.94	0	1
ВВГнг-LS-П 2х4	Кабель ГАЛ-КАТ ВВГнг-LS-П 2х4 черный, бухта 100м                                                 	3420.1	1	1
ПВСнг 2х1,5	Кабель ГАЛ-КАТ ПВСнг 2х1,5 белый, бухта 100м                                                 	1492.7	1	1
DL305PVCUTP-4p-350	Кабель КПВ 4*2*0,50 (350 МГц  UTP-cat.5E), DL( CU), изоляция ПВХ, для внутр работ, 305м. OEM	69.88	3	1
PV1-F 1*25 black	Кабель Одескабель PV1-F 1*25 black наружный диаметр 8,3 мм цена за метр (бух.500м) черный                                                    	108.96	1	1
15292	Кабель Одескабель ВВГ 3*1,5 (ож) -0,66 цена за метр бухта 200 м. черный      	21.4	1	1
49275	Кабель Одескабель КПВ-ВП (100) 2*2*0,50 (UTP-cat.5), OK-net, CU, для внутр. работ, 500м.                               	2573.5	1	1
5284	Кабель Одескабель ПВСм 2*10,0 цена за метр (бух.100м) белый                                                    	102.4	1	1
8217	Кабель Одескабель ШВВПн 2х4,0 цена за метр (бух.200м) белый                                                    	38.18	1	1
05399	Кабель сигнальный КСВП Merlion ССА 10*7/0,22 неэкран., бухта 100м, Q6	11.7	1	1
TK- GKS ССА 10*7/0,22/S	Кабель сигнальный КСВПЭ GKS ССА 12*7/0,22 экран., бухта 100м.	16	1	1
TK- NR СCA 14*7/0,22/S	Кабель сигнальный КСВПЭ ССА 14*7/0,22 экран., бухта 100м	23.6	0	1
W 2х0,22	Кабель сигнальный Одескабель W 2х0,22 CU, экран., бухта 100м. оболочка ПВХ цвет белый                                                 	308.57	1	1
ПВСнг 3х1,5	Кабель ТДМ ПВС 3х1,5 цена за метр (бух.100м) белый	22.5	1	1
4*25	Кабель ТДМ СИП-4 3*25	56.07	1	1
ШВВПнг 3х1,5	Кабель ТДМ ШВВП 3х1,5 цена за метр многожилка(бух.100 м)/ цвет белый  	19.15	1	1
1136	Кабель телефонный Одескабель ТППэп 100х2х0.4	170.11	1	1
MN2525	Кабельний канал Merlion 25х25х2000мм Q45 указана цена за шт	22.7	12	1
YT-RNVC-12V	Камера заднего ночного видения, рабочее напряжение 12В	7.5	12	1
	Кантер электронный T 04, Градация: 1 г, 1-50кг, питание 2хАА, корпус - пластик                      	4.5	2	1
11820	Карта памяти Microflash Micro SD, cкорость передачи данных 70MB/s, class10, 128G	17.2	12	1
K504	Клавиатура с подсветкой USB JEDEL K504, длина кабеля 170см, (Eng/Укр/Рус), (483х188х35 мм) Black, 104к, Q20	11.25	2	1
K222-412	Клемма с нажимными зажимами 2-проводная WAGO K222-412  для распределительных коробок, 2-pin, прозрачно-оранжевая 	0.1	1	1
РК 75-4-15м	Коаксиальный Кабель Одескабель РК 75-4-15м бухта 100 м 75 Ом плотность оплетки 60%, оболочка ПВХ цвет белый                                  	1323.2	3	1
РК 75-4-15м	Коаксиальный Кабель Одескабель РК 75-4-15м бухта 200 м 75 Ом плотность оплетки 60%, оболочка ПВХ цвет белый/черный                                   	2646.41	3	1
06568	Коврик 240*200 тканевой GAMER, толщина 2 мм, цвет Mix Color, Пакет	0.3	0	1
07797	Коврик 240*200 тканевой GAMER, толщина 2 мм, цвет Mix Color, Пакет	0.3	0	1
06563	Коврик 240*200 тканевой GAMER, толщина 2 мм, цвет Mix Color, Пакет	0.3	0	1
06565	Коврик 240*200 тканевой GAMER, толщина 2 мм, цвет Mix Color, Пакет	0.3	0	1
06562	Коврик 240*200 тканевой GAMER, толщина 2 мм, цвет Mix Color, Пакет	0.3	1	1
06558	Коврик 240*200 тканевой GAMER, толщина 2 мм, цвет Mix Color, Пакет	0.3	0	1
06572	Коврик 240*200 тканевой GAMER, толщина 2 мм, цвет Mix Color, Пакет	0.3	0	1
YT-MCD/S	Коврик 240*200 тканевой GAMER, толщина 2 мм, цвет Mix Color, Пакет	0.3	0	1
YT-MBTD/S	Коврик 240*200 тканевой GAMER, толщина 2 мм, цвет Mix Color, Пакет	0.3	0	1
14135	Коврик 240*200 тканевой GAMER, толщина 2 мм, цвет Mix Color, Пакет	0.35	0	1
07796	Коврик 240*200 тканевой GAMER, толщина 2 мм, цвет Mix Color, Пакет	0.3	0	1
06559	Коврик 240*200 тканевой LEAGUE of LEGENDS, толщина 2 мм, цвет Mix Color, Пакет	0.3	0	1
YT-MGM/S	Коврик 250*210 тканевой GAMER с боковой прошивкой (в ассортименте), толщина 1,7 мм, цвет MIX, Пакет	0.5	0	1
WLTB02302GR-UA	Колодка Panasonic X-tendia 3 гнезда, с защитными шторками, серая	1.79	24	1
YT-BTS-T6-03091	Колонка T6 Bluetooth 4.1 до 10m, 1х3W, 4Ω, 600mAh, ≥90dB, TF card/USB, DC 5V, Black	11.8	12	1
YT-BTS-T6-03091	Колонка T6 Bluetooth 4.1 до 10m, 1х3W, 4Ω, 600mAh, ≥90dB, TF card/USB, DC 5V, Blue	11.8	12	1
YT-BTS-T6-03091	Колонка T6 Bluetooth 4.1 до 10m, 1х3W, 4Ω, 600mAh, ≥90dB, TF card/USB, DC 5V, Blue-orange	11.8	12	1
YT-BTS-T6-03091	Колонка T6 Bluetooth 4.1 до 10m, 1х3W, 4Ω, 600mAh, ≥90dB, TF card/USB, DC 5V, Gray	11.8	12	1
YT-BTS-T6-03091	Колонка T6 Bluetooth 4.1 до 10m, 1х3W, 4Ω, 600mAh, ≥90dB, TF card/USB, DC 5V, Khaki	11.8	12	1
YT-BTS-T6-03091	Колонка T6 Bluetooth 4.1 до 10m, 1х3W, 4Ω, 600mAh, ≥90dB, TF card/USB, DC 5V, Red	11.8	12	1
CPRJ45ML-BK-CAT5	Колпачок изолирующий Merlion RJ-45 Black Cat.5 (100 шт/уп.) Q100	1.1	1	1
CPRJ45ML-BL-CAT5/6	Колпачок изолирующий Merlion RJ-45 Blue Cat.5/Cat.6 (100 шт/уп.) Q100	3	1	1
CPRJ45ML-GY-CAT5/6	Колпачок изолирующий Merlion RJ-45 Gray Cat.5/Cat.6 (100 шт/уп.) Q100	3	1	1
CPRJ45ML-GN-CAT5/6	Колпачок изолирующий Merlion RJ-45 Green Cat.5/Cat.6 (100 шт/уп.) Q100	3	1	1
CPRJ45ML-TR-CAT5/6	Колпачок изолирующий Merlion RJ-45 TRANSPARENT Cat.5/Cat.6 (100 шт/уп.) Q100	3	1	1
CPRJ45ML-WH-CAT5/6	Колпачок изолирующий Merlion RJ-45 White Cat.5/Cat.6 (100 шт/уп.) Q100	3	1	1
14703	Колпачок изолирующий RJ-45 Brown Cat.5/Cat.6 (100 шт/уп.) Q100	3	1	1
14702	Колпачок изолирующий RJ-45 Orange Cat.5/Cat.6 (100 шт/уп.) Q100	3	1	1
14700	Колпачок изолирующий RJ-45 Purple Cat.5/Cat.6 (100 шт/уп.) Q100	3	1	1
14701	Колпачок изолирующий RJ-45 Red Cat.5/Cat.6 (100 шт/уп.) Q100	3	1	1
14694	Колпачок изолирующий RJ-45 Silver Cat.5/Cat.6 (100 шт/уп.) Q100	3	1	1
14704	Колпачок изолирующий RJ-45 Yellow Cat.5/Cat.6 (100 шт/уп.) Q100	3	1	1
S124D	Коммутатор Mercury S124D, 24 порта Ethernet 10/100 Мбит/сек, BOX Q6	41	12	1
S148	Коммутатор Mercury S148, 48 порта Ethernet 10/100 Мбит/сек, BOX Q6	88	12	1
StarterKit Cam white	Комплект беспроводной сигнализации Ajax StarterKit Cam white ( Hub 2/MotionCam/DoorProtect/SpaceControl )	260.81	12	1
YT-HBCT018	Компьютерный стол 1000 х 600 х 750mm с подсветкой RGB	76	0	1
OK-J201	Коннектор OK-net RJ-45 Кат.6 FTP 50U с вставкой упаковка 100 шт. цена указана за шт.	15.84	1	1
BT810	Контроллер USB BlueTooth BT810 V5.0, Blister Q100	2.5	6	1
BT830	Контроллер USB BlueTooth BT830 V5.0, Blister Q100	2.5	6	1
BT840	Контроллер USB BlueTooth BT840 V5.0, Blister Q100	2.5	6	1
05187	Короб Kopos LHD 30х25 длина 2 м, указана цена за шт	69.63	1	1
PROFI 220B 3/4	Кран с электроприводом Neptun PROFI 220B 3/4	2153	12	1
DS-1661ZJ	Кронштейн DS-1661ZJ	17.3	12	1
PFB204W	Кронштейн PFB204W	8.24	12	1
CC-3010  30x30x10/2	Кулер корпусной JLN3010  30x30x10mm, 2pin, под пайку, 9V/0.07A/0.7W	1.3	2	1
Pccooler F62	Кулер корпусной Pccooler F62, 3-pin + MOLEX, RPM 3500±10%, BOX	2	3	1
19158	Кунай Узумаки в кожанном чехле из аниме Наруто (Naruto), 22cm, металл, Silver	0	0	1
BK-7291	Кусачки Nano Sim Cutter BAKKU  BK-7291, для вырезки nano SIM	1.5	2	1
LDACH06WG1E7	Лампа светодиодная Panasonic A60 5.5W (540lm) 4000K E27	0.89	24	1
LDCCH03DG1E4	Лампа светодиодная Panasonic C37 3W (290lm) 6500K E14	0.84	24	1
LDRCH04DH1E1	Лампа светодиодная Panasonic MR16  4W (330lm) 6500K GU10	1.3	24	1
5630	Лента светодиодная 5630 аллюминиевая, на жесткой основе, 12V, 10000K, WhiteCold            	1.5	2	1
5630	Лента светодиодная 5630 аллюминиевая, на жесткой основе, 12V, 18000K, WhiteHot            	2.2	2	1
5630	Лента светодиодная 5630 аллюминиевая, на жесткой основе, 12V, 3000K, 72LED, WhiteHot, цена за метр             	1.5	2	1
5630	Лента светодиодная 5630 аллюминиевая, на жесткой основе, 12V, 40LM         	1.6	2	1
5630	Лента светодиодная 5630 аллюминиевая, на жесткой основе, 12V, 6500K, 72LED, WhiteCold, цена за метр          	1.5	2	1
5630	Лента светодиодная 5630 аллюминиевая, на жесткой основе, 12V, 72LED         	2.2	2	1
18163	Магнитный кабель PiPo USB 2.0/Micro, 2m, 2А, тканевая оплетка, бронированный, съемник, Silver, BOX	1.5	2	1
Q2-Big Devil- G	Машинка для стрижки волос Q2-Big Devil, Gold, Box	0	0	1
SHURE SM58	Микрофон проводной SHURE  SM58 (копия), BOX	8.5	1	1
OK-KM103-5ES	Модульный разъём OK-net Кат.5e FTP (180°, toolless) 	98.4	1	1
21321	Монтаж ЗАМКА электромеханического/защелки	0	0	1
MC-YTX7A-BS	Мотоаккумулятор Merlion MC- YTX7A-BS, Black Case, 12V 7.0Ah (152*88*94), Q10	13.9	12	1
BA-890A	Мультиметр BAKKU BA-890A Измерения: V, A, R, C (200*130*56) 0.52 кг (180*90*45)	18	2	1
DT-266C	Мультиметр DT-266C                                                                                  	7.5	2	1
DT-266F	Мультиметр DT-266F                                                                                  	8.3	2	1
UT601	Мультиметр UNI-T UT601                                                                              	26	12	1
UT602	Мультиметр UNI-T UT602                                                                              	34	12	1
UT603	Мультиметр UNI-T UT603                                                                              	37	12	1
UT60A	Мультиметр UNI-T UT60A                                                                              	35.4	12	1
UT60B	Мультиметр UNI-T UT60B                                                                              	34.22	12	1
UT60C	Мультиметр UNI-T UT60C                                                                              	50	12	1
UT60E	Мультиметр UNI-T UT60E                                                                              	50.74	12	1
UT61A	Мультиметр UNI-T UT61A                                                                              	40	12	1
UT61B	Мультиметр UNI-T UT61B                                                                              	60	12	1
UT61C	Мультиметр UNI-T UT61C                                                                              	49.5	12	1
UT61D	Мультиметр UNI-T UT61D                                                                              	53	12	1
UT61E	Мультиметр UNI-T UT61E                                                                              	54	12	1
YT-2100S	Муляж наружной камеры купольная с солнечной панелью 2100S  Q30	8.5	0	1
CP72	Мышь проводная JEDEL CP72, Q100	1.5	2	1
CP73	Мышь проводная JEDEL CP73, Q100	2.5	2	1
JD-23	Мышь проводная JEDEL JD-230, Q100	1.3	2	1
05706	Набор мужских носков, 100% хлопок, 6 пар в наборе	12	0	1
AIR SOFA HAKI	Надувной матрас Ламзак AIR SOFA HAKI, Bag	8	0	1
YT-KST/R-W	Наклейки на клавиатуру прозрачные с белыми буквами Рус. Q100	0.5	0	1
DS-1294ZJ-PT	Настенный кронштейн DS-1294ZJ-PT	13.33	12	1
YT-SCPE HDM-200m1080Р	Одноканальный активный удлинитель HDMI сигнала по UTP кабелю. Дальность передачи: до 200метров, cat5e/cat6e 1080P/3D	93	12	1
PW34AMR	Очки Portwest профильные безобидкови желтые	90	0	1
YT-ZL-100*100	Пакеты с замком Zip-Lock 100*100mm (100шт)                                                          	0.9	0	1
HD-217R	Пассивный приемопередатчик видеосигнала HD-217R AHD/CVI/TVI/CVBS. 720P/1080P - 550/350 метров, цена за пару,Q100/500	1.4	1	1
PM06	Патрон электрический PM06, черный, Q12	0.3	2	1
OK-PC5500W	Патч-корд OK-net Кат.5e UTP 24AWG Белый Без защиты фиксатора 10м	223.2	1	1
PCR-CCA/2Be	Патч-корд литой RITAR, CCA, UTP, RJ45, Cat.5e, 2m, синий Q750	0.4	12	1
PCR-SFP/3Be	Патч-корд литой Ritar, FTP, RJ45, Cat.6, 3,0m, синий	2.2	12	1
PCR-CU/7.5G	Патч-корд литой RITAR, UTP, RJ45, Cat.5e, 7,5m, серый, Cu (медь) Q50	1.8	12	1
PCR-CU6/10Be	Патч-корд литой RITAR, UTP, RJ45, Cat.6, 10m, синий, Cu (медь) Q100	4.3	12	1
OK-PP201-6S24	Патч-панель OK-net 24 порта Кат.6 FTP 	2763.6	1	1
02881	Полуавтоматический зонт, D-96см, защита от солнца, UV (99%), защита от дождя, каркас - Al+Fe, Green	4	1	1
YT-GS-D50A	Преобразователь авто инвертор DC/DC 24v-12v 50A GS-D50A	14	1	1
HC-005-50W	Преобразователь напряжения трансформаторный 50W Input 220 V/Output 110V, + универсальная розетка	2.9	12	1
YT-DC-M	Разъем для подключения питания DC-M (D 5,5x2,1мм) с клеммами под кабель (Yellow Plug)	0.15	1	1
ТОПОЛЬ K1Р1	Респиратор ТОПОЛЬ K1Р1	0	0	1
OK-FP303	Розетка наружного монтажа OK-net 6a FTP, 2 порт	274.8	1	1
MJ26 RGB	Селфи-лампа Led кольцо 26см MJ26 RGB	9.5	0	1
AY-EU-D601	Сенсорный выключатель AOYAN, одноканальный, Gold, 86х86х35мм	6.5	12	1
17933	Сенсорный выключатель без заземления + WiFi управление, одноканальный, gold, 86х86х35мм	12.5	12	1
KF-0602000-GS	Сетевое зарядное устройство для аккумуляторов Merlion 6V 2А 100V-240V	5.7	1	1
P-EU6U4S	Сетевой фильтр на 6 розеток + 4 USB выхода 5V-4.8A, 16A, 240V, Black	22	12	1
ТВ-Т06	Сетевой фильтр ТВ-Т06, 1 розетка + 4 USB, 2 м, сечение 3х0,75мм, 2500W, Black, Box	5.5	12	1
ТВ-Т06	Сетевой фильтр ТВ-Т06, 1 розетка + 4 USB, 2 м, сечение 3х0,75мм, 2500W, White, Box	5.5	12	1
YT-DST-15B	Скотч двусторонний  3M  длина 50м, ширина 15мм Черный	4.8	0	1
СТАНДАРТ 15х5	Скотч двухсторонний вспененный СТАНДАРТ 15х5м ( 1мм+80 мкм модифицированный акрил )	0	0	1
Зел 45х60 40мкм	Скотч зелёный 45х60 ( 40 мкм акрил )	0	0	1
Премиум 48х40м желтый	Скотч малярный Премиум 48х40м желтый (140 мкм синтетический каучук )	0	0	1
2xRJ45-RED	Соединитель RJ45 8P8C мама/мама RJ45 для соединения кабеля, красный,Q100                                	0.13	1	1
REMAX Leisure Shoes	Спортивная обувь REMAX Leisure Shoes for Female	22	0	1
EPX-604	Стабилизатор напряжения релейный Europower EPX-604 600VA 300W, input:184~276V, output:220V±10%, 4 SHUKO, Q	13.2	12	1
GW-MSR-5000VA	Стабилизатор напряжения релейный Green Wave Mauser 5000VA, 1xShuko, DC140-260V, AC220±8%, BOX	0	6	1
08087	Стяжки на липучке 10*130мм, зеленые	0.05	2	1
SY-190TV (16:9)	Телевизор SY-190TV (16:9), 19`` LED TV:AV+TV+VGA+HDMI+USB+Speakers+DC12V, Black, Box	75	12	1
RT-PIN-12/24EU	POE инжектор RITAR RT-PIN-12/24EU, 12V 2A (24Вт) с портами Ethernet 10/100/1000Мбит/с, EU PLUG	7.8	6	1
YD-T001	Power bank 5000 mAh Solar, (5V/200mA), 2xUSB, 5V/1A/1A, USB <-> microUSB, влаго/ударо защищеный прорезиненный корпус, карабин, Black/Green, Corton BOX	9	6	1
YS-0602	Автомобильное зарядное устройство YS-0602 6V 2А 100V-240V	4.6	12	1
GTF-1326	Автомобильные динамики GTF-1326, 30W, D-130 мм	9.2	1	1
MSP-TS-1396	Автомобильные динамики TS-1396, 30W, D-130 мм	9.2	1	1
YT-CCNF-R	АЗУ NOKOKO Flower, 12V-USB, 5-5.5V, 2*USB, 10W, 2,1А, RED, Пакет Q50	0.9	6	1
